day,start_balance,end_balance,day_pnl,day_trades,day_wins,day_win_rate,total_win_rate,cumulative_trades,cumulative_pnl
1,20.0,43.39088778169891,23.390887781698908,37,34,91.8918918918919,91.8918918918919,37,23.390887781698915
2,43.39088778169891,77.74141558983068,34.35052780813177,48,44,91.66666666666666,91.76470588235294,85,57.74141558983064
3,77.74141558983068,119.98106194497714,42.23964635514646,56,49,87.5,90.0709219858156,141,99.98106194497709
4,119.98106194497714,160.80851226124966,40.82745031627252,57,53,92.98245614035088,90.9090909090909,198,140.80851226124958
5,160.80851226124966,194.2846781137218,33.47616585247215,45,41,91.11111111111111,90.94650205761316,243,174.28467811372172
6,194.2846781137218,235.26729523786565,40.98261712414384,59,52,88.13559322033898,90.39735099337747,302,215.2672952378656
7,235.26729523786565,261.56825828064495,26.3009630427793,46,37,80.43478260869566,89.08045977011494,348,241.56825828064484
