day,start_balance,end_balance,day_pnl,day_trades,day_wins,day_win_rate,total_win_rate,cumulative_trades,cumulative_pnl
1,20.0,63.28957466930726,43.28957466930726,64,57,89.0625,89.0625,64,43.28957466930726
2,63.28957466930726,94.03750617376005,30.747931504452794,41,38,92.6829268292683,90.47619047619048,105,74.03750617376005
3,94.03750617376005,129.88604689381265,35.8485407200526,51,48,94.11764705882352,91.66666666666666,156,109.88604689381266
4,129.88604689381265,164.99513162197655,35.10908472816391,50,44,88.0,90.77669902912622,206,144.9951316219766
5,164.99513162197655,191.65225993109237,26.65712830911582,42,34,80.95238095238095,89.11290322580645,248,171.65225993109243
6,191.65225993109237,223.64541236010882,31.993152429016448,47,41,87.2340425531915,88.8135593220339,295,203.64541236010888
7,223.64541236010882,263.06882525085194,39.42341289074312,58,53,91.37931034482759,89.23512747875354,353,243.06882525085197
